Education,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Days_Since_Customer,Fam_Size,Num_Accepted,MntTotal
2,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,1,64,3865.0866019844907,1,0,2252
2,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,67,3315.0866019844907,3,0,38
2,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,56,3514.0866019844907,2,0,1202
2,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,37,3341.0866019844907,3,0,64
4,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,40,3363.0866019844907,3,0,595
3,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,54,3495.0866019844907,3,0,1236
2,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,50,3795.0866019844907,2,0,825
4,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,36,3619.0866019844907,3,0,245
4,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,1,47,3590.0866019844907,3,0,60
4,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,0,0,71,3310.0866019844907,4,1,77
2,51381.5,11,5,5,6,0,2,1,1,1,0,2,7,0,0,38,3428.0866019844907,3,0,24
0,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,45,3795.0866019844907,2,0,67
2,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,62,3428.0866019844907,1,0,1296
3,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,69,3428.0866019844907,3,0,543
2,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,34,3829.0866019844907,2,0,49
4,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,1,75,3784.0866019844907,1,2,2321
2,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,41,3754.0866019844907,4,0,149
2,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,75,3869.0866019844907,2,0,401
3,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,72,3660.0866019844907,3,1,2794
1,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,36,3805.0866019844907,2,0,137
2,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,39,3892.0866019844907,2,0,402
2,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,42,3741.0866019844907,3,0,1731
4,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,0,72,3755.0866019844907,3,1,1839
4,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,67,3371.0866019844907,3,0,928
2,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,70,3670.0866019844907,3,0,714
2,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,52,3745.0866019844907,1,0,81
2,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,45,3600.0866019844907,4,0,430
2,51381.5,19,5,1,3,3,263,362,0,27,0,0,1,0,0,35,3696.0866019844907,2,0,642
2,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,32,3596.0866019844907,3,0,167
4,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,56,3421.0866019844907,2,1,2356
3,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,32,3240.0866019844907,1,0,38
3,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,58,3616.0866019844907,2,0,430
2,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,0,51,3829.0866019844907,3,1,230
4,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,1,69,3810.0866019844907,3,0,398
3,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,75,3696.0866019844907,2,0,1678
3,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,70,3506.0866019844907,3,0,105
4,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,51,3382.0866019844907,3,0,1615
1,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,45,3502.0866019844907,3,0,87
2,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,48,3340.0866019844907,2,0,122
4,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,0,1,78,3715.0866019844907,1,1,1339
2,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,41,3628.0866019844907,3,0,1816
3,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,36,3676.0866019844907,3,0,66
